Route_State,Route_Volume,Avg_Lead_Time,Efficiency_Score
Wicked Choccy's -> New Mexico,14,1488.8823529411766,0.0
Lot's O' Nuts -> Iowa,14,1479.0,3.22
Secret Factory -> Washington,11,1472.3636363636363,5.39
Lot's O' Nuts -> New Mexico,18,1456.9444444444443,10.42
Lot's O' Nuts -> Connecticut,40,1420.5531914893618,22.28
Wicked Choccy's -> Iowa,12,1403.7857142857142,27.75
Wicked Choccy's -> Indiana,44,1402.462962962963,28.18
Wicked Choccy's -> Tennessee,56,1393.7611940298507,31.02
Lot's O' Nuts -> Tennessee,88,1390.9633027522937,31.93
Secret Factory -> New York,23,1379.625,35.63
