Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Lead Time,Year Gap,Normalized Lead Time,Factory,Route_State,Route_Region
1,US-2021-103800-CHO-MIL-31000,2024-01-03,2026-06-30,Standard Class,103800,United States,Houston,Texas,77095,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,909,2,179,Wicked Choccy's,Wicked Choccy's -> Texas,Wicked Choccy's -> Interior
2,US-2021-112326-CHO-TRI-54000,2024-01-04,2026-07-01,Standard Class,112326,United States,Naperville,Illinois,60540,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,909,2,179,Wicked Choccy's,Wicked Choccy's -> Illinois,Wicked Choccy's -> Interior
3,US-2021-112326-CHO-NUT-13000,2024-01-04,2026-07-01,Standard Class,112326,United States,Naperville,Illinois,60540,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,909,2,179,Lot's O' Nuts,Lot's O' Nuts -> Illinois,Lot's O' Nuts -> Interior
4,US-2021-112326-CHO-SCR-58000,2024-01-04,2026-07-01,Standard Class,112326,United States,Naperville,Illinois,60540,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,909,2,179,Lot's O' Nuts,Lot's O' Nuts -> Illinois,Lot's O' Nuts -> Interior
5,US-2021-141817-CHO-TRI-54000,2024-01-05,2026-07-05,Standard Class,141817,United States,Philadelphia,Pennsylvania,19143,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,912,2,182,Wicked Choccy's,Wicked Choccy's -> Pennsylvania,Wicked Choccy's -> Atlantic
6,US-2021-167199-CHO-SCR-58000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,32.4,9,22.5,9.9,909,2,179,Lot's O' Nuts,Lot's O' Nuts -> Kentucky,Lot's O' Nuts -> Gulf
7,US-2021-167199-CHO-TRI-54000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,909,2,179,Wicked Choccy's,Wicked Choccy's -> Kentucky,Wicked Choccy's -> Gulf
8,US-2021-106054-CHO-MIL-31000,2024-01-06,2026-06-30,First Class,106054,United States,Athens,Georgia,30605,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,906,2,176,Wicked Choccy's,Wicked Choccy's -> Georgia,Wicked Choccy's -> Gulf
9,US-2021-167199-CHO-NUT-13000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,909,2,179,Lot's O' Nuts,Lot's O' Nuts -> Kentucky,Lot's O' Nuts -> Gulf
10,US-2021-167199-CHO-MIL-31000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56,909,2,179,Wicked Choccy's,Wicked Choccy's -> Kentucky,Wicked Choccy's -> Gulf
