Route_State,Route_Volume,Delayed_Orders,Delay_Frequency_Pct
Lot's O' Nuts -> New Mexico,18,11,61.11
Wicked Choccy's -> New Mexico,14,8,57.14
Secret Factory -> Washington,11,6,54.55
Secret Factory -> Illinois,13,7,53.85
The Other Factory -> New York,13,7,53.85
Lot's O' Nuts -> Connecticut,40,21,52.5
Lot's O' Nuts -> Iowa,14,7,50.0
Wicked Choccy's -> Iowa,12,6,50.0
Wicked Choccy's -> Rhode Island,18,9,50.0
Secret Factory -> New York,23,11,47.83
Wicked Choccy's -> Washington,187,86,45.99
Wicked Choccy's -> Minnesota,36,16,44.44
Lot's O' Nuts -> Tennessee,88,38,43.18
Wicked Choccy's -> Tennessee,56,24,42.86
Wicked Choccy's -> Louisiana,14,6,42.86
Wicked Choccy's -> Kentucky,45,19,42.22
Lot's O' Nuts -> Minnesota,38,16,42.11
Secret Factory -> Ohio,12,5,41.67
Lot's O' Nuts -> New Jersey,53,22,41.51
Wicked Choccy's -> Indiana,44,18,40.91
Lot's O' Nuts -> Missouri,30,12,40.0
Lot's O' Nuts -> Washington,230,91,39.57
Lot's O' Nuts -> Rhode Island,23,9,39.13
Lot's O' Nuts -> Maryland,44,17,38.64
Wicked Choccy's -> North Carolina,91,35,38.46
Wicked Choccy's -> Arkansas,21,8,38.1
Lot's O' Nuts -> Florida,176,67,38.07
Secret Factory -> Pennsylvania,19,7,36.84
Lot's O' Nuts -> Colorado,82,30,36.59
Lot's O' Nuts -> Indiana,74,27,36.49
Lot's O' Nuts -> Wisconsin,44,16,36.36
Wicked Choccy's -> Georgia,55,20,36.36
Wicked Choccy's -> Oklahoma,22,8,36.36
Wicked Choccy's -> Illinois,183,66,36.07
Lot's O' Nuts -> Arkansas,25,9,36.0
Wicked Choccy's -> Missouri,25,9,36.0
Wicked Choccy's -> Ohio,157,56,35.67
Secret Factory -> California,31,11,35.48
Wicked Choccy's -> Pennsylvania,188,66,35.11
Lot's O' Nuts -> Nebraska,20,7,35.0
Lot's O' Nuts -> Ohio,218,76,34.86
Lot's O' Nuts -> Illinois,235,81,34.47
Wicked Choccy's -> Maryland,32,11,34.38
Wicked Choccy's -> Arizona,88,30,34.09
Wicked Choccy's -> Texas,326,111,34.05
Wicked Choccy's -> California,689,230,33.38
Lot's O' Nuts -> Louisiana,21,7,33.33
Lot's O' Nuts -> Idaho,12,4,33.33
The Other Factory -> California,21,7,33.33
Lot's O' Nuts -> California,944,306,32.42
Lot's O' Nuts -> Pennsylvania,270,87,32.22
Lot's O' Nuts -> Mississippi,25,8,32.0
Lot's O' Nuts -> New York,544,174,31.99
Wicked Choccy's -> Utah,22,7,31.82
Lot's O' Nuts -> Georgia,88,28,31.82
Lot's O' Nuts -> Kentucky,63,20,31.75
Lot's O' Nuts -> Texas,479,150,31.32
Secret Factory -> Texas,16,5,31.25
Wicked Choccy's -> Massachusetts,43,13,30.23
Wicked Choccy's -> New Hampshire,10,3,30.0
Lot's O' Nuts -> Arizona,94,28,29.79
Lot's O' Nuts -> Michigan,118,34,28.81
Wicked Choccy's -> New Jersey,49,14,28.57
Lot's O' Nuts -> North Carolina,120,34,28.33
Wicked Choccy's -> Florida,131,37,28.24
Wicked Choccy's -> Oregon,39,11,28.21
Wicked Choccy's -> New York,353,99,28.05
Lot's O' Nuts -> South Carolina,18,5,27.78
Wicked Choccy's -> Connecticut,30,8,26.67
Lot's O' Nuts -> Alabama,30,8,26.67
Wicked Choccy's -> Colorado,49,13,26.53
Wicked Choccy's -> Michigan,83,22,26.51
Lot's O' Nuts -> Oklahoma,34,9,26.47
Lot's O' Nuts -> Massachusetts,58,15,25.86
Wicked Choccy's -> Nebraska,12,3,25.0
Lot's O' Nuts -> Utah,21,5,23.81
Wicked Choccy's -> Wisconsin,42,10,23.81
Lot's O' Nuts -> Delaware,39,9,23.08
Wicked Choccy's -> Alabama,18,4,22.22
Wicked Choccy's -> South Carolina,14,3,21.43
Wicked Choccy's -> Virginia,85,18,21.18
Lot's O' Nuts -> Oregon,62,13,20.97
Wicked Choccy's -> Delaware,37,7,18.92
Lot's O' Nuts -> Virginia,91,16,17.58
Lot's O' Nuts -> Nevada,23,4,17.39
Lot's O' Nuts -> New Hampshire,13,2,15.38
Lot's O' Nuts -> Kansas,15,2,13.33
Wicked Choccy's -> Mississippi,17,2,11.76
Wicked Choccy's -> Nevada,10,1,10.0
