Route_State,Route_Volume,Avg_Lead_Time,Efficiency_Score
Wicked Choccy's -> Nevada,10,1182.25,100.0
Secret Factory -> Texas,16,1227.0625,85.39
Lot's O' Nuts -> Virginia,91,1229.48623853211,84.6
Wicked Choccy's -> South Carolina,14,1234.2105263157894,83.05
Lot's O' Nuts -> Utah,21,1236.0,82.47
Wicked Choccy's -> Virginia,85,1238.877358490566,81.53
Wicked Choccy's -> Mississippi,17,1240.4545454545455,81.02
Lot's O' Nuts -> Nevada,23,1243.25,80.11
Lot's O' Nuts -> Oregon,62,1245.1948051948052,79.47
Lot's O' Nuts -> Kansas,15,1248.8666666666666,78.27
